Photon Energy (eV),Absorption Intensity
68.5068,0.136645832
68.5753,0.136751962
68.6438,0.136858046
68.7123,0.136970987
68.7808,0.137076983
68.8493,0.137182932
68.9179,0.137295935
68.9864,0.137401796
69.0549,0.137507612
69.1234,0.137620306
69.1919,0.137726033
69.2604,0.137831715
69.3289,0.137944286
69.3974,0.13804988
69.4659,0.138155428
69.5344,0.138267876
69.6029,0.138373336
69.6714,0.138485703
69.7399,0.138591076
69.8084,0.138703363
69.877,0.138808833
69.9455,0.138914072
70.014,0.139026237
70.0825,0.139131389
70.151,0.139243474
70.2195,0.139348539
70.288,0.139460543
70.3565,0.139572509
70.425,0.139677445
70.4935,0.139789331
70.562,0.13989418
70.6305,0.140005987
70.699,0.140110749
70.7675,0.140222475
70.836,0.107215689
70.9046,0.107297324
70.9731,0.107384257
71.0416,0.107465687
71.1101,0.107552563
71.1786,0.107639412
71.2471,0.10772075
71.3156,0.107807543
71.3841,0.107894309
71.4526,0.107975556
71.5211,0.108062266
71.5896,0.108148949
71.6581,0.108235606
71.7266,0.108316731
71.7951,0.108403332
71.8636,0.108489906
71.9322,0.108571082
72.0007,0.1086576
72.0692,0.108744092
72.1377,0.108830557
72.2062,0.108916996
72.2747,0.108997879
72.3432,0.109084262
72.4117,0.109170619
72.4802,0.109256949
72.5487,0.109343253
72.6172,0.109423986
72.6857,0.109510234
72.7542,0.109596456
72.8227,0.109682652
72.8913,0.109768964
72.9598,0.109855107
73.0283,0.109941224
73.0968,0.110027315
73.1653,0.11010781
73.2338,0.110193845
73.3023,0.110279854
73.3708,0.110365837
73.4393,0.110451794
73.5078,0.110537725
73.5763,0.11062363
73.6448,0.110709508
73.7133,0.110795361
73.7818,0.110881187
73.8503,0.110966987
73.9189,0.111052903
73.9874,0.111138651
74.0559,0.111224374
74.1244,0.11131007
74.1929,0.11139574
74.2614,0.111481384
74.3299,0.111567003
74.3984,0.111652595
74.4669,0.111738161
74.5354,0.111823702
74.6039,0.111909216
74.6724,0.111994705
74.7409,0.112080168
74.8094,0.112165605
74.8779,0.112256664
74.9465,0.112342194
75.015,0.112427556
75.0835,0.112512893
75.152,0.112598203
75.2205,0.112683488
75.289,0.112768747
75.3575,0.112853981
75.426,0.112939188
75.4945,0.113030047
75.563,0.113115207
75.6315,0.11320034
75.7,0.113285448
75.7685,0.11337053
75.837,0.113455586
75.9056,0.113546454
75.9741,0.113631462
76.0426,0.113716445
76.1111,0.113801401
76.1796,0.113886332
76.2481,0.113976951
76.3166,0.114061833
76.3851,0.114146691
76.4536,0.114231523
76.5221,0.114322054
76.5906,0.114406838
76.6591,0.114491596
76.7276,0.114576329
76.7961,0.114666774
76.8646,0.114751459
76.9332,0.114836258
77.0017,0.078166474
77.0702,0.078225223
77.1387,0.078283956
77.2072,0.078342673
77.2757,0.078405376
77.3442,0.078464064
77.4127,0.078522736
77.4812,0.078585402
77.5497,0.078644044
77.6182,0.078702671
77.6867,0.078765299
77.7552,0.078823897
77.8237,0.078882478
77.8922,0.078945068
77.9608,0.079003718
78.0293,0.079066284
78.0978,0.079124807
78.1663,0.079183315
78.2348,0.079245843
78.3033,0.079304321
78.3718,0.079362783
78.4403,0.079425274
78.5088,0.079483707
78.5773,0.079546173
78.6458,0.079604577
78.7143,0.079667019
78.7828,0.079725394
78.8513,0.079783754
78.9199,0.079846255
78.9884,0.079904586
79.0569,0.079966965
79.1254,0.080025267
79.1939,0.080087623
79.2624,0.080145895
79.3309,0.080208227
79.3994,0.08026647
79.4679,0.080328777
